2182.820000000007
('7', '7457')
('8142', '5372')
('8215', '5039')
('8426', '1573')
('8452', '7317')
('8460', '5567')
('8632', '1005')
('8735', '4827')
('8755', '6856')
('8980', '2747')
('9004', '8030')
('9064', '1536')
('9174', '9823')
('9359', '9585')
('9382', '6624')
('9416', '413')
('9501', '6286')
('9533', '7809')
('9560', '4083')
('9627', '6263')
('9629', '11')
('9723', '6148')
('9814', '6014')
('9888', '7789')
('11', '1030')
('67', '3752')
('132', '8959')
('230', '971')
('259', '9499')
('268', '3208')
('308', '7899')
('348', '8284')
('349', '2234')
('352', '6044')
('372', '2783')
('410', '3701')
('414', '2324')
('474', '4921')
('478', '7923')
('494', '5968')
('561', '5033')
('727', '4588')
('740', '9465')
('763', '755')
('817', '1800')
('840', '3604')
('897', '3334')
('971', '7286')
('973', '5880')
('990', '703')
('1061', '8575')
('1083', '6887')
('1141', '1713')
('1269', '5890')
('1305', '8066')
('1311', '3530')
('1442', '9468')
('1468', '3695')
('1498', '156')
('1513', '5295')
('1514', '3006')
('1672', '2690')
('1692', '7374')
('1722', '9345')
('1731', '7144')
('1741', '3930')
('1744', '5454')
('1759', '110')
('1774', '8756')
('2031', '6804')
('2065', '5283')
('2128', '8282')
('2179', '1619')
('2183', '5324')
('2212', '9758')
('2235', '9494')
('2250', '1564')
('2259', '6498')
('2277', '7602')
('2326', '3633')
('2449', '2022')
('2451', '2889')
('2470', '751')
('2506', '2150')
('2598', '4787')
('2598', '8079')
('2705', '9460')
('2770', '1400')
('2815', '4521')
('2837', '3387')
('2930', '4682')
('2997', '9512')
('3000', '8657')
('3025', '7321')
('3044', '2201')
('3046', '42')
('3088', '7424')
('3176', '8154')
('3193', '6626')
('3200', '9066')
('3204', '3587')
('3217', '4741')
('3233', '1999')
('3253', '5954')
('3294', '9826')
('3329', '4471')
('3349', '3547')
('3361', '8992')
('3432', '222')
('3477', '2244')
('3581', '6496')
('3599', '4333')
('3609', '880')
('3619', '6674')
('3694', '7893')
('3799', '3434')
('3838', '8323')
('3870', '3984')
('3880', '5370')
('3891', '4700')
('3905', '3751')
('3920', '498')
('3954', '4264')
('3964', '5401')
('4011', '7650')
('4023', '3711')
('4100', '2294')
('4122', '6249')
('4143', '564')
('4149', '7235')
('4154', '4530')
('4194', '9407')
('4330', '7389')
('4337', '5111')
('4339', '3876')
('4382', '5958')
('4506', '3355')
('4527', '9264')
('4564', '5183')
('4688', '215')
('4710', '5515')
('4755', '8938')
('4843', '8494')
('4891', '6268')
('4960', '7116')
('4963', '6866')
('4996', '9412')
('5009', '560')
('5083', '5837')
('5095', '6450')
('5112', '3562')
('5158', '908')
('5191', '4500')
('5207', '8632')
('5237', '7167')
('5261', '5605')
('5281', '8254')
('5326', '6482')
('5404', '3271')
('5405', '66')
('5435', '2544')
('5446', '8009')
('5452', '8205')
('5483', '1248')
('5560', '198')
('5569', '2307')
('5575', '3784')
('5694', '4460')
('5701', '2061')
('5716', '9140')
('5742', '3180')
('5827', '9433')
('5857', '7815')
('5900', '1015')
('5901', '9096')
('5944', '2321')
('5963', '7999')
('5968', '949')
('5969', '3752')
('5972', '9638')
('5973', '9987')
('5982', '2238')
('6060', '7385')
('6091', '191')
('6160', '7177')
('6169', '4523')
('6185', '7522')
('6205', '588')
('6311', '2797')
('6332', '8531')
('6339', '5745')
('6365', '4984')
('6393', '2406')
('6459', '7531')
('6483', '9636')
('6542', '9847')
('6555', '8333')
('6562', '3609')
('6614', '3409')
('6761', '2126')
('6778', '4877')
('6814', '8825')
('6853', '985')
('6858', '7038')
('6971', '1551')
('7030', '5509')
('7050', '3430')
('7096', '5871')
('7111', '3606')
('7223', '1089')
('7320', '796')
('7499', '4373')
('7523', '4463')
('7533', '3439')
('7570', '9914')
('7759', '5910')
('7761', '5611')
('7792', '2469')
('7876', '3794')
('7965', '8617')
('7968', '6980')
('7991', '983')
('8016', '1284')
('8020', '7290')
('8025', '3671')
('8138', '2319')
('8195', '1181')
('8298', '3213')
('8307', '9044')
('8340', '5375')
('8385', '5705')
('8400', '1280')
('8407', '9423')
('8412', '4768')
('8413', '7546')
('8416', '6146')
('8496', '6530')
('8498', '3801')
('8567', '7938')
('8571', '8744')
('8643', '7615')
('8801', '2197')
('8812', '8492')
('8824', '6782')
('8829', '1729')
('8856', '1715')
('8857', '3839')
('8901', '1555')
('8930', '5878')
('8990', '7625')
('9029', '1959')
('9048', '1960')
('9064', '8305')
('9066', '7723')
('9198', '1142')
('9326', '7572')
('9362', '3472')
('9384', '7256')
('9404', '3105')
('9452', '623')
('9468', '5032')
('9518', '3979')
('9520', '4858')
('9607', '3824')
('9640', '7047')
('9718', '5846')
('9766', '1933')
('9767', '5599')
('9788', '8706')
('9812', '963')
('9887', '3195')
('9892', '7873')
('9893', '9652')
('9956', '7232')
('9978', '6294')
('9989', '1466')
('60', '8955')
('62', '8211')
('69', '432')
('90', '1590')
('90', '6695')
('99', '5077')
('179', '3037')
('186', '1932')
('209', '3959')
('257', '5436')
('260', '7727')
('263', '2065')
('267', '5966')
('295', '5941')
('306', '9565')
('337', '6447')
('348', '7369')
('364', '4434')
('367', '2400')
('620', '3832')
('692', '1209')
('716', '9026')
('745', '6465')
('763', '1877')
('775', '893')
('776', '5109')
('803', '168')
('825', '8905')
('831', '5481')
('837', '9136')
('849', '3957')
('912', '612')
('946', '6702')
('949', '4562')
('982', '4266')
('1038', '2985')
('1074', '7675')
('1086', '6164')
('1109', '6536')
('1200', '6669')
('1288', '6690')
('1289', '6795')
('1387', '5651')
('1502', '36')
('1523', '1146')
('1543', '3742')
('1561', '4125')
('1571', '5028')
('1703', '9757')
('1723', '5785')
('1829', '9579')
('1831', '8270')
('1857', '4222')
('1868', '1006')
('1885', '1927')
('1889', '2892')
('1893', '5437')
('1896', '8060')
('1915', '14')
('1922', '9918')
('1932', '9253')
('2019', '8079')
('2040', '5733')
('2058', '2353')
('2065', '459')
('2066', '5225')
('2094', '3055')
('2095', '6746')
('2121', '2601')
('2150', '5446')
('2168', '3421')
('2175', '5841')
('2199', '7354')
('2200', '6999')
('2326', '4796')
('2348', '4278')
('2412', '8589')
('2431', '55')
('2445', '1005')
('2599', '8127')
('2687', '1463')
('2738', '2211')
('2747', '3017')
('2747', '4491')
('2766', '8979')
('2813', '1117')
('2821', '4788')
('2828', '5547')
('2854', '3007')
('2941', '2325')
('2952', '141')
('2968', '36')
('2991', '6137')
('2996', '5534')
('3069', '9336')
('3093', '2957')
('3194', '9341')
('3200', '3599')
('3234', '3313')
('3256', '2924')
('3352', '1146')
('3363', '7961')
('3394', '8110')
('3478', '4124')
('3484', '9212')
('3491', '5398')
('3501', '8763')
('3509', '5835')
('3529', '5469')
('3534', '4994')
('3656', '9604')
('3685', '3288')
('3687', '607')
('3701', '8631')
('3717', '7378')
('3735', '4576')
('3767', '9122')
('3782', '9173')
('3784', '5302')
('3802', '4193')
('3837', '2511')
('3877', '6086')
('3883', '2034')
('3903', '5118')
('3923', '4341')
('3945', '8442')
('3966', '2136')
('3982', '1493')
('4005', '5592')
('4177', '725')
('4204', '9963')
('4343', '5546')
('4361', '1355')
('4362', '9899')
('4365', '5894')
('4397', '4108')
('4467', '267')
('4516', '6388')
('4520', '5423')
('4552', '9754')
('4563', '3829')
('4584', '3549')
('4661', '8163')
('4666', '9086')
('4703', '6346')
('4706', '5108')
('4722', '3723')
('4726', '8199')
('4751', '9468')
('4804', '237')
('4825', '7219')
('4887', '545')
('4925', '7447')
('4928', '9898')
('4930', '5483')
('4974', '8932')
('4983', '7049')
('4992', '9280')
('4998', '4810')
('5010', '8260')
('5059', '9582')
('5096', '3783')
('5138', '9250')
('5212', '7194')
('5227', '6097')
('5231', '2006')
('5258', '8862')
('5308', '505')
('5338', '1986')
('5350', '4692')
('5365', '498')
('5371', '5353')
('5380', '3004')
('5399', '3586')
('5595', '3828')
('5609', '2916')
('5624', '4599')
('5627', '8484')
('5665', '9440')
('5731', '191')
('5753', '1041')
('5844', '1629')
('5874', '7595')
('5920', '9233')
('5954', '5582')
('5955', '2970')
('5966', '8734')
('5982', '8478')
('5993', '8442')
('6015', '818')
('6045', '1861')
('6066', '7592')
('6081', '1565')
('6146', '9830')
('6147', '6769')
('6246', '9763')
('6256', '2728')
('6258', '3019')
('6289', '7489')
('6306', '1101')
('6394', '1730')
('6466', '3214')
('6620', '8647')
('6634', '8945')
('6659', '5703')
('6666', '4269')
('6697', '6864')
('6723', '1093')
('6788', '8709')
('6808', '1773')
('6864', '1589')
('6916', '367')
('6920', '2167')
('6944', '1960')
('6998', '9473')
('7042', '8292')
('7097', '2382')
('7126', '6267')
('7129', '2903')
('7164', '6417')
('7172', '823')
('7271', '680')
('7316', '7038')
('7401', '6004')
('7429', '1196')
('7446', '3767')
('7470', '3586')
('7539', '4784')
('7583', '4599')
('7590', '1194')
('7594', '165')
('7617', '7734')
('7770', '1986')
('7849', '4265')
('7867', '9228')
('7909', '3229')
('8022', '2036')
('8095', '6299')
('8231', '1145')
('8277', '3944')
('8364', '7420')
('8366', '5023')
('8430', '7293')
('8463', '3737')
('8475', '7174')
('8568', '2301')
('8614', '5723')
('8617', '9080')
('8619', '9602')
('8643', '5933')
('8648', '5082')
('8659', '6531')
('8719', '3360')
('8724', '7815')
('8762', '397')
('8784', '4783')
('8801', '3407')
('8848', '1976')
('8857', '3564')
('8860', '7152')
('8909', '8610')
('8951', '4626')
('8959', '1768')
('8978', '370')
('9017', '1933')
('9019', '5673')
('9035', '6982')
('9053', '2736')
('9059', '9865')
('9097', '6120')
('9129', '6100')
('9129', '8932')
('9138', '82')
('9146', '1198')
('9162', '9831')
('9314', '233')
('9392', '3220')
('9447', '8525')
('9478', '8469')
('9559', '8058')
('9756', '8463')
('9759', '1720')
('9789', '1557')
('9796', '3254')
('9798', '9431')
('9823', '5303')
('9830', '5562')
('9842', '9291')
('9870', '4096')
('9880', '9183')
('9955', '2531')
('9970', '2903')
('9971', '6286')
('22', '3882')
('29', '4524')
('58', '6141')
('71', '2372')
('86', '3270')
('114', '6576')
('116', '9598')
('117', '4801')
('130', '4379')
('160', '6780')
('205', '6098')
('258', '7293')
('391', '6800')
('470', '4598')
('492', '6334')
('499', '795')
('523', '6599')
('593', '3325')
('644', '5280')
('744', '3571')
('749', '2638')
('766', '6266')
('768', '2752')
('770', '1914')
('842', '1161')
('842', '6600')
('873', '5647')
('880', '9993')
('886', '825')
('913', '3793')
('984', '4657')
('1029', '454')
('1057', '8125')
('1156', '5305')
('1177', '6233')
('1206', '4447')
('1223', '5339')
('1236', '6815')
('1238', '341')
('1338', '888')
('1353', '6916')
('1376', '5427')
('1404', '1264')
('1439', '3736')
('1449', '3678')
('1497', '2902')
('1511', '2602')
('1563', '2259')
('1565', '7296')
('1631', '300')
('1661', '8909')
('1682', '2986')
('1696', '2640')
('1720', '511')
('1742', '8034')
('1751', '412')
('1762', '7385')
('1799', '560')
('1826', '7171')
('1885', '3303')
('1935', '3304')
('1943', '8964')
('1944', '875')
('2078', '1350')
('2106', '5130')
('2108', '4035')
('2122', '2531')
('2135', '4280')
('2136', '8631')
('2143', '5489')
('2164', '2448')
('2297', '2174')
('2327', '7625')
('2346', '1513')
('2363', '2788')
('2369', '2813')
('2380', '9038')
('2380', '9142')
('2381', '606')
('2386', '545')
('2560', '8200')
('2611', '103')
('2656', '3')
('2673', '2457')
('2689', '1723')
('2693', '2395')
('2720', '4864')
('2735', '6936')
('2744', '8213')
('2790', '9024')
('2812', '8841')
('2839', '3297')
('2921', '8763')
('2983', '5061')
('3176', '9063')
('3260', '5226')
('3263', '9212')
('3279', '9446')
('3284', '6317')
('3306', '7183')
('3343', '693')
('3353', '2073')
('3361', '8633')
('3396', '8205')
('3453', '4452')
('3483', '5673')
('3497', '1887')
('3536', '3164')
('3553', '4946')
('3581', '2692')
('3589', '7876')
('3603', '1684')
('3663', '8272')
('3669', '4959')
('3710', '7474')
('3776', '5618')
('3786', '7590')
('3876', '4052')
('3892', '5312')
('4072', '4473')
('4080', '5079')
('4121', '621')
('4132', '4338')
('4133', '3221')
('4151', '6307')
('4234', '8458')
('4248', '3894')
('4464', '9600')
('4564', '2718')
('4639', '1554')
('4659', '2435')
('4666', '1763')
('4694', '2135')
('4722', '8230')
('4755', '6272')
('4807', '7537')
('4852', '3483')
('4991', '9522')
('5020', '1378')
('5070', '3095')
('5093', '7159')
('5218', '7989')
('5241', '9324')
('5324', '8455')
('5344', '2274')
('5415', '2810')
('5425', '9992')
('5513', '1646')
('5566', '8029')
('5578', '143')
('5612', '6998')
('5617', '7754')
('5631', '9861')
('5640', '9117')
('5655', '6596')
('5749', '366')
('5837', '8667')
('5888', '3183')
('5896', '1777')
('5939', '2851')
('5956', '2108')
('6025', '2908')
('6104', '4573')
('6109', '347')
('6129', '589')
('6145', '3994')
('6173', '4317')
('6373', '2466')
('6398', '4687')
('6403', '571')
('6474', '4029')
('6509', '8261')
('6513', '7110')
('6517', '8790')
('6575', '3366')
('6673', '7012')
('6801', '9118')
('6809', '4909')
('6817', '5341')
('6823', '8902')
('6827', '5616')
('6857', '1149')
('6914', '8861')
('6934', '9806')
('6980', '9610')
('6998', '2531')
('7063', '2965')
('7177', '2867')
('7194', '7023')
('7213', '4929')
('7267', '3685')
('7270', '1686')
('7312', '5238')
('7365', '929')
('7380', '6342')
('7381', '2940')
('7421', '9412')
('7449', '687')
('7464', '6224')
('7531', '511')
('7534', '6666')
('7577', '1094')
('7594', '2097')
('7611', '1667')
('7653', '9191')
('7686', '1499')
('7806', '2213')
('7827', '2258')
('7848', '6837')
('7865', '3824')
('7882', '4491')
('7898', '6374')
('7900', '4898')
('7932', '3531')
('7954', '7846')
('7971', '8269')
('7984', '8794')
('8045', '9479')
('8112', '3422')
('8123', '1543')
('8123', '9374')
('8145', '3772')
('8159', '5787')
('8176', '8744')
('8182', '5200')
('8225', '8033')
('8234', '8856')
('8271', '7195')
('8281', '549')
('8377', '2741')
('8455', '6481')
('8467', '632')
('8514', '6266')
('8568', '7583')
('8595', '2727')
('8629', '3205')
('8653', '7074')
('8658', '8020')
('8660', '8684')
('8707', '4378')
('8715', '7058')
('8767', '4686')
('8924', '4539')
('9057', '8445')
('9140', '6709')
('9381', '2414')
('9427', '3841')
('9457', '4280')
('9460', '4471')
('9518', '3396')
('9554', '3877')
('9567', '6558')
('9600', '1449')
('9643', '7316')
('9752', '6020')
('9795', '3132')
('9801', '10')
('9815', '6416')
('9865', '20')
('9889', '96')
('9899', '5625')
('9900', '3003')
('9902', '4015')
('9924', '3972')
('9939', '747')
('4', '8200')
('37', '4627')
('42', '5486')
('49', '9953')
('53', '7605')
('66', '3033')
('98', '1419')
('106', '3420')
('139', '3133')
('227', '7104')
('230', '5220')
('246', '5734')
('289', '5715')
('294', '505')
('453', '2428')
('524', '6750')
('537', '8377')
('587', '9954')
('591', '5034')
('618', '5456')
('650', '2263')
('657', '4683')
('668', '8562')
('713', '4108')
('726', '8154')
('771', '5089')
('779', '1821')
('881', '9124')
('884', '7872')
('886', '4142')
('901', '4902')
('917', '2119')
('991', '2483')
('1016', '7733')
('1047', '1692')
('1119', '7934')
('1130', '9681')
('1215', '9882')
('1233', '1959')
('1244', '4928')
('1325', '6586')
('1344', '7212')
('1423', '7543')
('1424', '8694')
('1439', '1950')
('1472', '3355')
('1523', '5936')
('1581', '4726')
('1595', '6346')
('1621', '8131')
('1653', '4913')
('1688', '9584')
('1718', '9487')
('1734', '1003')
('1790', '9794')
('1810', '3364')
('1920', '8184')
('1926', '7618')
('2127', '8134')
('2210', '9737')
('2224', '7200')
('2230', '7891')
('2236', '9169')
('2268', '3677')
('2306', '6542')
('2365', '3819')
('2424', '1581')
('2424', '3407')
('2441', '1636')
('2441', '6481')
('2473', '3723')
('2565', '8312')
('2625', '9706')
('2697', '2987')
('2710', '8466')
('2714', '8868')
('2778', '2861')
('2818', '4173')
('2823', '3184')
('2933', '7863')
('3094', '7566')
('3128', '947')
('3172', '6471')
('3179', '8493')
('3185', '8195')
('3233', '9985')
('3280', '7798')
('3282', '2285')
('3304', '8312')
('3320', '6848')
('3323', '9415')
('3334', '3266')
('3360', '5092')
('3374', '4453')
('3380', '102')
('3398', '2073')
('3450', '227')
('3550', '7240')
('3657', '929')
('3871', '1434')
('3923', '3507')
('3936', '5369')
('3941', '5039')
('4012', '1822')
('4044', '5140')
('4076', '4454')
('4080', '1412')
('4093', '7261')
('4246', '6855')
('4249', '4963')
('4252', '8418')
('4259', '4337')
('4315', '7228')
('4399', '2787')
('4546', '1385')
('4547', '3211')
('4592', '4818')
('4595', '5602')
('4639', '9530')
('4644', '3689')
('4649', '3964')
('4660', '4809')
('4697', '5849')
('4770', '2262')
('4802', '9700')
('4829', '6005')
('4832', '1116')
('4832', '3497')
('4833', '5177')
('4834', '5350')
('4856', '8593')
('4867', '7695')
('4910', '7427')
('4911', '2039')
('4919', '3357')
('4930', '9118')
('4952', '1142')
('4964', '5319')
('5001', '6427')
('5002', '8774')
('5091', '3177')
('5138', '5388')
('5241', '1649')
('5246', '7649')
('5289', '4247')
('5337', '6694')
('5400', '2129')
('5439', '3321')
('5443', '9106')
('5480', '3085')
('5550', '8925')
('5556', '9522')
('5575', '8870')
('5579', '9993')
('5610', '8288')
('5619', '4244')
('5652', '817')
('5673', '2532')
('5737', '4770')
('5779', '3268')
('5882', '5691')
('5898', '1988')
('5957', '3057')
('5972', '4307')
('5983', '7460')
('6043', '1653')
('6085', '2412')
('6146', '5499')
('6188', '9060')
('6216', '3754')
('6217', '3298')
('6272', '4479')
('6294', '4264')
('6373', '5654')
('6458', '7419')
('6465', '1331')
('6499', '2049')
('6551', '4653')
('6588', '2462')
('6603', '3097')
('6647', '4306')
('6703', '5288')
('6723', '5155')
('6736', '8507')
('6747', '2623')
('6749', '1363')
('6785', '3155')
('6814', '9917')
('6901', '2408')
('6931', '9478')
('6996', '7986')
('7022', '3621')
('7091', '6210')
('7103', '7320')
('7111', '2249')
('7247', '5380')
('7262', '545')
('7282', '1486')
('7310', '7976')
('7315', '540')
('7343', '2877')
('7411', '4661')
('7440', '2304')
('7460', '9718')
('7523', '7674')
('7528', '2333')
('7566', '2745')
('7577', '7444')
('7580', '9563')
('7596', '6747')
('7650', '6476')
('7661', '7563')
('7675', '4162')
('7694', '4117')
('7699', '6559')
('7757', '7178')
('7909', '4024')
('7910', '9695')
('8010', '4413')
('8054', '481')
('8064', '9429')
('8073', '5985')
('8118', '5969')
('8143', '8626')
('8193', '3166')
('8197', '2780')
('8278', '3395')
('8328', '3129')
('8338', '119')
('8379', '2396')
('8422', '470')
('8429', '9634')
('8443', '5667')
('8451', '5982')
('8493', '3981')
('8512', '7359')
('8554', '6981')
('8592', '8846')
('8614', '2432')
('8616', '7047')
('8659', '2511')
('8684', '8616')
('8727', '919')
('8756', '5844')
('8797', '8250')
('8902', '8199')
('8909', '3667')
('8917', '6047')
('9024', '6004')
('9041', '2702')
('9082', '6192')
('9082', '9690')
('9128', '2826')
('9170', '8872')
('9214', '9950')
('9254', '1052')
('9289', '5640')
('9306', '2549')
('9375', '5172')
('9418', '6948')
('9434', '2120')
('9437', '5199')
('9479', '9177')
('9485', '7485')
('9518', '8604')
('9528', '2295')
('9604', '794')
('9640', '1311')
('9660', '34')
('9660', '3053')
('9697', '9238')
('9822', '8946')
('9828', '6542')
('9854', '6166')
('9856', '9496')
('9992', '4096')
('4', '5260')
('36', '9253')
('67', '294')
('110', '3570')
('113', '7492')
('180', '9494')
('193', '276')
('221', '3966')
('335', '9960')
('339', '6051')
('361', '7845')
('486', '5282')
('501', '7986')
('505', '4870')
('520', '3954')
('531', '6720')
('537', '5660')
('595', '9400')
('657', '6764')
('668', '4686')
('777', '3085')
('886', '667')
('942', '2077')
('955', '4469')
('1000', '1911')
('1011', '5315')
('1019', '5313')
('1052', '2765')
('1076', '7787')
('1083', '779')
('1094', '5132')
('1130', '3975')
('1143', '1539')
('1156', '4170')
('1197', '4145')
('1198', '9076')
('1293', '7038')
('1304', '6153')
('1357', '3745')
('1408', '5515')
('1415', '3206')
('1474', '7242')
('1497', '4608')
('1522', '5907')
('1549', '6300')
('1624', '761')
('1660', '8016')
('1698', '8769')
('1737', '659')
('1820', '9404')
('1833', '4434')
('1866', '4067')
('1873', '6713')
('1957', '6193')
('1971', '1921')
('2044', '2196')
('2085', '3623')
('2097', '2077')
('2160', '623')
('2163', '873')
('2191', '1121')
('2285', '1700')
('2353', '1468')
('2353', '9976')
('2448', '5459')
('2451', '4127')
('2530', '1650')
('2540', '8513')
('2542', '3337')
('2665', '7876')
('2673', '6517')
('2681', '551')
('2687', '2352')
('2729', '7629')
('2753', '134')
('2788', '1969')
('2789', '9651')
('2813', '8366')
('2829', '3278')
('2850', '1478')
('2855', '658')
('2864', '8449')
('2867', '7744')
('2894', '6050')
('3006', '6972')
('3020', '8015')
('3105', '2644')
('3156', '1095')
('3157', '6159')
('3231', '815')
('3277', '1957')
('3280', '8990')
('3295', '3948')
('3301', '8645')
('3347', '6913')
('3407', '1773')
('3509', '3280')
('3535', '3370')
('3539', '3171')
('3550', '2310')
('3599', '3921')
('3611', '8271')
('3613', '3571')
('3614', '2005')
('3637', '4902')
('3653', '2657')
('3777', '5850')
('3879', '2353')
('3913', '6598')
('3947', '6053')
('3980', '7829')
('4032', '8393')
('4036', '7596')
('4114', '8008')
('4173', '3058')
('4202', '9793')
('4227', '6942')
('4275', '493')
('4320', '6983')
('4323', '4099')
('4335', '1268')
('4342', '1095')
('4377', '6879')
('4402', '7575')
('4406', '2189')
('4410', '9926')
('4442', '9016')
('4536', '959')
('4551', '5568')
('4612', '7853')
('4624', '9441')
('4654', '5782')
('4658', '1258')
('4736', '4075')
('4771', '5521')
('4801', '7256')
('4864', '112')
('4911', '9487')
('4965', '8702')
('4970', '4045')
('4986', '4181')
('4992', '4446')
('5008', '1713')
('5010', '5132')
('5039', '7534')
('5075', '9111')
('5116', '8515')
('5117', '3622')
('5120', '3996')
('5130', '395')
('5164', '9701')
('5192', '1528')
('5231', '1862')
('5340', '8331')
('5344', '9627')
('5371', '6516')
('5375', '682')
('5418', '7345')
('5424', '224')
('5449', '5883')
('5478', '2424')
('5487', '2345')
('5502', '1499')
('5548', '3871')
('5586', '6810')
('5600', '1989')
('5604', '4960')
('5650', '1094')
('5694', '7033')
('5724', '9697')
('5752', '7381')
('5755', '6473')
('5787', '9887')
('5807', '5573')
('5846', '4450')
('5871', '4705')
('5911', '6884')
('6027', '5934')
('6036', '7366')
('6076', '8075')
('6091', '9126')
('6166', '8729')
('6198', '5751')
('6306', '4865')
('6312', '5982')
('6350', '453')
('6353', '8433')
('6356', '6447')
('6473', '9790')
('6521', '4397')
('6560', '4235')
('6586', '6119')
('6636', '9207')
('6648', '9910')
('6658', '842')
('6680', '1909')
('6680', '3624')
('6692', '2709')
('6715', '2631')
('6764', '5776')
('6819', '3567')
('6835', '3279')
('6888', '3350')
('6985', '8811')
('7004', '2908')
('7029', '2028')
('7202', '5670')
('7262', '572')
('7387', '6698')
('7391', '903')
('7506', '3472')
('7509', '2620')
('7515', '8599')
('7534', '4329')
('7596', '987')
('7608', '5206')
('7683', '8433')
('7692', '3131')
('7804', '8142')
('7935', '2478')
('7944', '9697')
('8024', '7396')
('8030', '8165')
('8042', '6321')
('8105', '443')
('8125', '6163')
('8160', '1649')
('8190', '4494')
('8214', '427')
('8288', '3338')
('8354', '8707')
('8411', '5305')
('8413', '6175')
('8445', '5793')
('8451', '6458')
('8461', '1078')
('8510', '7244')
('8539', '4324')
('8609', '6364')
('8616', '8167')
('8640', '1883')
('8714', '8744')
('8743', '9993')
('8764', '6263')
('8831', '3585')
('8835', '9423')
('8867', '6138')
('8871', '9735')
('8915', '4260')
('8920', '1608')
('9004', '9461')
('9027', '3157')
('9046', '5664')
('9062', '4030')
('9070', '2140')
('9087', '2893')
('9091', '9734')
('9107', '7262')
('9169', '4768')
('9302', '7754')
('9334', '5626')
('9377', '4291')
('9378', '6604')
('9410', '185')
('9416', '1557')
('9417', '6150')
('9476', '5649')
('9497', '4500')
('9498', '852')
('9503', '1291')
('9578', '4740')
('9586', '2689')
('9654', '1637')
('9865', '8575')
('9970', '9339')
('9995', '621')
('17', '193')
('20', '9098')
('27', '2592')
('84', '1054')
('134', '396')
('137', '8232')
('225', '5531')
('374', '1288')
('428', '1448')
('585', '7382')
('630', '6866')
('675', '2390')
('705', '4039')
('731', '2071')
('746', '9618')
('831', '1946')
('835', '9347')
('885', '5334')
('915', '2547')
('1056', '7546')
('1061', '5193')
('1082', '1165')
('1105', '9719')
('1150', '3966')
('1175', '8690')
('1209', '2735')
('1267', '524')
('1273', '4291')
('1289', '7688')
('1296', '8615')
('1320', '478')
('1327', '585')
('1362', '5291')
('1385', '9298')
('1399', '1137')
('1418', '6220')
('1431', '5858')
('1456', '8382')
('1514', '2831')
('1634', '4653')
('1634', '8200')
('1634', '8989')
('1683', '8244')
('1722', '9779')
('1772', '1249')
('1806', '4718')
('1932', '9978')
('2072', '3765')
('2077', '2189')
('2099', '2005')
('2176', '3556')
('2205', '4574')
('2209', '4955')
('2212', '2802')
('2215', '5410')
('2219', '5216')
('2256', '108')
('2384', '7740')
('2457', '317')
('2497', '8313')
('2520', '1035')
('2556', '842')
('2586', '5865')
('2797', '9759')
('2818', '2066')
('2820', '3291')
('2843', '8569')
('2941', '652')
('2990', '9036')
('3004', '8461')
