222.5399999999997
('88', '861')
('519', '634')
('520', '593')
('576', '887')
('674', '18')
('726', '861')
('814', '480')
('842', '829')
('938', '205')
('54', '97')
('76', '684')
('210', '847')
('220', '779')
('224', '822')
('582', '157')
('596', '320')
('632', '499')
('650', '471')
('736', '718')
('815', '215')
('845', '912')
('917', '948')
('924', '421')
('968', '89')
('989', '343')
('49', '876')
('259', '537')
('272', '809')
('462', '85')
('476', '269')
('544', '401')
('579', '660')
('627', '957')
('677', '734')
('694', '647')
('826', '578')
('942', '128')
('244', '826')
('308', '434')
('423', '221')
('529', '902')
('897', '270')
('3', '787')
('102', '358')
('172', '325')
('197', '246')
('268', '892')
('388', '858')
('409', '765')
('452', '970')
('467', '48')
('484', '311')
('564', '673')
('607', '630')
('619', '529')
('815', '810')
('856', '363')
('857', '93')
('941', '455')
('35', '361')
('49', '116')
('109', '686')
('127', '462')
('251', '533')
('297', '284')
('300', '897')
('423', '833')
('492', '703')
('530', '789')
('667', '21')
('714', '696')
('125', '581')
('232', '170')
('313', '405')
('372', '918')
('399', '627')
('403', '773')
('423', '17')
('623', '143')
('817', '442')
('854', '147')
('886', '601')
('33', '753')
('47', '320')
('167', '134')
('437', '419')
('577', '777')
('590', '514')
('829', '643')
('878', '7')
('989', '625')
('130', '280')
('288', '69')
('305', '966')
('511', '492')
('575', '712')
('641', '415')
('685', '200')
('833', '80')
('909', '454')
('708', '354')
('24', '378')
('101', '767')
('293', '384')
('732', '254')
('741', '312')
('866', '733')
('952', '892')
('119', '323')
('163', '537')
('181', '640')
('461', '649')
('501', '95')
('669', '159')
('741', '460')
('29', '712')
('698', '806')
('31', '154')
('149', '309')
('331', '945')
('387', '824')
('791', '812')
('853', '380')
('855', '799')
('934', '319')
('943', '707')
('252', '925')
('834', '292')
('108', '492')
('153', '5')
('335', '90')
('341', '145')
('682', '779')
('867', '917')
('978', '767')
('458', '354')
('498', '612')
('530', '366')
('648', '965')
('241', '335')
('375', '283')
('677', '836')
('754', '931')
('228', '155')
('900', '26')
('180', '176')
('596', '922')
('752', '480')
('977', '301')
('841', '541')
('743', '289')
('751', '16')
('219', '707')
('556', '375')
('655', '339')
('972', '60')
('728', '72')
('74', '513')
('239', '723')
('660', '203')
('666', '881')
('996', '977')
('990', '413')
('304', '567')
('977', '929')
('996', '688')
('966', '671')
('555', '335')
('737', '951')
('508', '461')
('560', '578')
('257', '730')
('298', '69')
('474', '360')
('650', '476')
('664', '329')
('156', '882')
('755', '614')
('891', '184')
('171', '569')
('84', '794')
('14', '610')
('114', '704')
('297', '906')
('371', '629')
('474', '780')
('739', '692')
('821', '486')
('444', '140')
('935', '328')
('703', '517')
('388', '264')
('545', '903')
('400', '29')
('521', '530')
('111', '796')
('675', '432')
