22107.14000000049
('127', '62074')
('13029', '79991')
('13128', '29567')
('13273', '13635')
('13570', '10551')
('13729', '36306')
('13788', '47497')
('13805', '31545')
('13918', '51529')
('14009', '11508')
('14078', '70585')
('14092', '10608')
('14129', '50251')
('14239', '69178')
('14252', '66249')
('14407', '50960')
('14587', '66475')
('14621', '19158')
('14713', '62173')
('14758', '69267')
('14774', '48213')
('14796', '81956')
('14910', '32892')
('14946', '69132')
('15037', '53617')
('15061', '64507')
('15472', '79944')
('15510', '83597')
('15571', '45154')
('15866', '14600')
('15893', '76531')
('15942', '39809')
('15969', '30651')
('16087', '6162')
('16116', '55000')
('16298', '76291')
('16447', '76615')
('16494', '29297')
('16532', '54389')
('16563', '43443')
('16582', '77156')
('16916', '73737')
('16939', '34645')
('17164', '88538')
('17381', '47316')
('17555', '60702')
('17658', '93914')
('17856', '98529')
('18000', '42881')
('18010', '41741')
('18071', '61302')
('18086', '63468')
('18128', '76387')
('18243', '76259')
('18297', '43051')
('18320', '20399')
('18327', '46620')
('18391', '14805')
('18468', '52756')
('18483', '72818')
('18499', '70160')
('18529', '9648')
('18612', '35024')
('18650', '26564')
('18702', '76748')
('19066', '89748')
('19092', '10693')
('19253', '31008')
('19326', '63239')
('19420', '48834')
('19488', '74802')
('19588', '72430')
('19700', '68966')
('20001', '27700')
('20174', '92373')
('20186', '76412')
('20187', '28016')
('20222', '83111')
('20447', '49069')
('20455', '66872')
('20461', '51202')
('20483', '7978')
('20534', '75076')
('20566', '98026')
('20619', '71456')
('20650', '14157')
('20682', '94169')
('20703', '10625')
('20866', '69346')
('20989', '70281')
('21041', '78835')
('21067', '8079')
('21241', '38456')
('21278', '49266')
('21358', '90601')
('21360', '10208')
('21468', '4374')
('21657', '32638')
('21672', '90493')
('21707', '70524')
('21786', '95696')
('21798', '4517')
('21970', '26513')
('21974', '89566')
('22085', '61159')
('22194', '27813')
('22285', '76149')
('22397', '92735')
('22407', '9898')
('22425', '42729')
('22498', '11451')
('22515', '51644')
('22593', '11176')
('22675', '25958')
('22727', '92477')
('22728', '86725')
('22910', '77860')
('22959', '32823')
('23256', '55401')
('23264', '60000')
('23283', '39325')
('23297', '1712')
('23317', '28561')
('23360', '32119')
('23543', '61856')
('23571', '13295')
('23656', '50913')
('23755', '49461')
('23757', '88565')
('23795', '57582')
('23816', '50698')
('23878', '81614')
('23977', '88351')
('24034', '88436')
('24160', '79244')
('24249', '92519')
('24396', '49407')
('24615', '13742')
('24968', '99163')
('24989', '24885')
('25076', '14850')
('25113', '89306')
('25139', '3613')
('25177', '70936')
('25438', '6848')
('25480', '19187')
('25506', '40404')
('25542', '24105')
('25590', '6158')
('25633', '84176')
('25656', '94257')
('25716', '76531')
('25796', '9215')
('25805', '53197')
('25806', '66630')
('25817', '44461')
('25854', '23562')
('25890', '30580')
('26016', '28089')
('26034', '25453')
('26130', '53700')
('26153', '30109')
('26187', '88153')
('26209', '12209')
('26293', '83314')
('26502', '38708')
('26536', '74396')
('26555', '21123')
('26665', '19938')
('26735', '75031')
('26750', '42007')
('26862', '67731')
('27010', '17947')
('27014', '84081')
('27226', '97359')
('27613', '61685')
('27652', '10933')
('27678', '92377')
('27742', '86783')
('27756', '35690')
('28011', '94943')
('28042', '637')
('28071', '62043')
('28147', '79552')
('28222', '41043')
('28234', '73115')
('28376', '83461')
('28414', '76323')
('28449', '28979')
('28551', '68637')
('28569', '7617')
('28701', '17230')
('28725', '56041')
('28784', '23377')
('28855', '17392')
('28941', '97263')
('29008', '73258')
('29045', '46730')
('29125', '78203')
('29172', '66323')
('29235', '88291')
('29253', '66823')
('29290', '56837')
('29292', '249')
('29546', '1618')
('29611', '4457')
('29762', '72644')
('29775', '55819')
('29788', '53573')
('29875', '18007')
('29928', '17845')
('29949', '6320')
('29979', '50368')
('29996', '20270')
('30184', '84548')
('30471', '17870')
('30477', '38673')
('30513', '22393')
('30679', '26752')
('30740', '25147')
('30847', '62492')
('30920', '41080')
('31033', '50776')
('31134', '4007')
('31187', '33793')
('31313', '20771')
('31368', '36765')
('31436', '21573')
('31515', '71764')
('31581', '48640')
('31592', '80736')
('31738', '21265')
('31779', '47999')
('31890', '76443')
('31984', '56012')
('32052', '41216')
('32215', '9430')
('32224', '32987')
('32227', '25333')
('32472', '66727')
('32585', '53621')
('32600', '34733')
('32673', '34483')
('32689', '95321')
('32693', '30649')
('32795', '95379')
('32838', '82802')
('33010', '76110')
('33045', '24302')
('33053', '2905')
('33092', '12580')
('33176', '77447')
('33239', '46208')
('33572', '67007')
('33614', '16443')
('33617', '75919')
('33640', '21866')
('33847', '5832')
('33867', '59769')
('33905', '38580')
('33999', '49421')
('34049', '63076')
('34068', '32196')
('34073', '74128')
('34078', '9703')
('34162', '23425')
('34216', '91727')
('34289', '5247')
('34303', '50792')
('34326', '65656')
('34414', '41296')
('34422', '33353')
('34430', '92746')
('34434', '3907')
('34574', '36809')
('34794', '30112')
('34886', '9288')
('34951', '22368')
('35067', '10173')
('35178', '34212')
('35249', '25206')
('35329', '68554')
('35347', '17333')
('35374', '55382')
('35398', '35418')
('35430', '98082')
('35515', '47668')
('35517', '23596')
('35528', '34010')
('35568', '88972')
('35633', '60562')
('35653', '65433')
('35803', '93474')
('35828', '59549')
('35860', '65746')
('36169', '76299')
('36317', '83639')
('36360', '38496')
('36388', '50226')
('36410', '81143')
('36419', '14365')
('36458', '22653')
('36727', '14216')
('36916', '52653')
('36998', '61786')
('37177', '44412')
('37181', '26710')
('37183', '28563')
('37278', '70092')
('37483', '57862')
('37530', '4440')
('37584', '94961')
('37628', '89027')
('37643', '61838')
('37670', '30878')
('37871', '41876')
('38121', '3679')
('38204', '48387')
('38205', '63055')
('38232', '51557')
('38296', '15172')
('38325', '85262')
('38492', '38880')
('38636', '10774')
('38638', '68797')
('38856', '87084')
('39009', '89397')
('39066', '74477')
('39099', '53872')
('39120', '74202')
('39233', '57212')
('39446', '47758')
('39784', '95818')
('39882', '79581')
('40015', '21435')
('40382', '6463')
('40408', '8647')
('40448', '33723')
('40466', '11296')
('40866', '88142')
('40902', '35483')
('40908', '80060')
('41277', '87815')
('41299', '32089')
('41428', '45471')
('41595', '59510')
('41603', '50740')
('41631', '37948')
('41730', '91379')
('41768', '4145')
('41791', '76684')
('41850', '52225')
('41851', '26656')
('41856', '54333')
('42038', '63760')
('42046', '23294')
('42338', '13591')
('42371', '74592')
('42490', '18070')
('42617', '62530')
('42669', '47416')
('42899', '84736')
('42933', '60003')
('43098', '75285')
('43167', '96420')
('43261', '28261')
('43363', '48276')
('43471', '73039')
('43512', '85890')
('43615', '53815')
('43671', '49298')
('43810', '59669')
('43991', '10554')
('44029', '27967')
('44037', '90188')
('44057', '2947')
('44080', '95978')
('44120', '29578')
('44129', '78655')
('44164', '37558')
('44172', '78849')
('44244', '8552')
('44245', '84901')
('44247', '37404')
('44252', '31086')
('44520', '41165')
('44559', '46812')
('44655', '29055')
('44694', '39649')
('44708', '18875')
('44769', '49511')
('44840', '92745')
('44885', '61012')
('44903', '42928')
('44945', '85256')
('45005', '44274')
('45092', '52620')
('45095', '41042')
('45196', '28583')
('45255', '75547')
('45376', '35787')
('45457', '14300')
('45569', '20018')
('45664', '45747')
('45723', '73362')
('45887', '53642')
('45968', '20187')
('46022', '14624')
('46022', '19448')
('46083', '49444')
('46364', '75098')
('46368', '58742')
('46464', '59698')
('46474', '33141')
('46595', '75724')
('46732', '64543')
('46855', '87256')
('46857', '14672')
('46892', '32105')
('46899', '66932')
('46945', '11502')
('47168', '52109')
('47181', '20005')
('47196', '70500')
('47221', '56133')
('47279', '73951')
('47386', '27920')
('47420', '2315')
('47485', '10052')
('47757', '25258')
('47757', '64294')
('47813', '76508')
('47864', '30238')
('48128', '16768')
('48253', '21820')
('48275', '99272')
('48379', '68456')
('48395', '28037')
('48474', '47209')
('48488', '1955')
('48510', '90115')
('48527', '94676')
('48615', '65816')
('48678', '17499')
('48753', '64575')
('48755', '55280')
('48768', '81523')
('48777', '9277')
('48823', '30333')
('48851', '94641')
('48955', '20342')
('49139', '42169')
('49208', '29901')
('49294', '51112')
('49309', '69348')
('49339', '10325')
('49342', '46165')
('49343', '81880')
('49455', '1576')
('49480', '33351')
('49555', '37175')
('49626', '83012')
('49890', '12576')
('49935', '15820')
('49991', '59109')
('50203', '98104')
('50352', '41667')
('50469', '12443')
('50494', '95256')
('50500', '77661')
('50559', '82208')
('50582', '5854')
('50716', '62913')
('50734', '89057')
('50743', '68825')
('50743', '81257')
('50852', '65955')
('50939', '63679')
('50969', '14983')
('51031', '946')
('51137', '57355')
('51187', '13299')
('51275', '66773')
('51300', '24633')
('51413', '92927')
('51416', '65618')
('51482', '37098')
('51509', '13432')
('51570', '38566')
('51698', '72393')
('51744', '32647')
('51751', '43618')
('51877', '4011')
('51915', '11047')
('52015', '70349')
('52027', '60928')
('52112', '97046')
('52181', '4923')
('52188', '63577')
('52196', '43369')
('52224', '364')
('52336', '50250')
('52427', '56882')
('52469', '18662')
('52720', '97121')
('52797', '36962')
('52841', '12910')
('53044', '25780')
('53087', '75251')
('53271', '46551')
('53343', '81862')
('53415', '49764')
('53512', '87552')
('53661', '75361')
('53730', '3019')
('53776', '13720')
('53842', '88446')
('53966', '71237')
('53986', '69226')
('54068', '63772')
('54105', '5945')
('54154', '10347')
('54175', '37902')
('54301', '64540')
('54327', '23195')
('54431', '12872')
('54444', '88500')
('54552', '32951')
('54695', '45073')
('54844', '96915')
('54877', '42671')
('54903', '78035')
('55031', '12833')
('55036', '58760')
('55044', '38875')
('55062', '48837')
('55074', '72443')
('55086', '85352')
('55112', '43622')
('55143', '59906')
('55217', '7486')
('55285', '32755')
('55329', '98647')
('55399', '59542')
('55440', '90950')
('55480', '78094')
('55511', '23624')
('55531', '16972')
('55592', '42698')
('55597', '63538')
('55663', '5891')
('55692', '38949')
('55702', '21435')
('55736', '50426')
('55748', '48244')
('55749', '83864')
('55853', '89951')
('55871', '69291')
('56063', '89267')
('56076', '76968')
('56145', '47541')
('56280', '90598')
('56385', '26922')
('56401', '54238')
('56452', '26477')
('56513', '58896')
('56541', '68690')
('56575', '11469')
('56617', '78621')
('56632', '67649')
('56765', '80210')
('56982', '4395')
('57233', '9147')
('57413', '84447')
('57729', '53492')
('57756', '12723')
('57763', '76058')
('57805', '64220')
('57894', '21896')
('57898', '36353')
('57924', '85358')
('58006', '3122')
('58058', '72381')
('58217', '71654')
('58220', '94377')
('58232', '72814')
('58369', '4919')
('58410', '4444')
('58471', '9962')
('58489', '91459')
('58552', '73121')
('58864', '78099')
('58900', '26791')
('58948', '85959')
('58988', '43831')
('59029', '92988')
('59148', '12056')
('59158', '73767')
('59197', '26263')
('59203', '74948')
('59271', '92406')
('59393', '37666')
('59432', '93975')
('59504', '78805')
('59553', '7072')
('59595', '76887')
('59601', '56826')
('59738', '51542')
('59851', '94410')
('59883', '37945')
('59929', '88493')
('59985', '84128')
('59995', '23521')
('60157', '27614')
('60180', '56395')
('60283', '20284')
('60342', '28474')
('60350', '9300')
('60440', '19378')
('60527', '34326')
('60694', '94928')
('60762', '37834')
('60798', '32554')
('60804', '15934')
('60811', '89123')
('61084', '26868')
('61091', '91194')
('61109', '26261')
('61132', '83726')
('61149', '73821')
('61165', '85311')
('61168', '80514')
('61293', '56410')
('61397', '28462')
('61440', '64042')
('61454', '60083')
('61565', '28036')
('61714', '97346')
('61822', '1129')
('61857', '40099')
('62038', '41227')
('62081', '96745')
('62129', '12571')
('62134', '42555')
('62140', '58665')
('62164', '24431')
('62395', '52367')
('62412', '91338')
('62426', '56206')
('62433', '23453')
('62533', '42074')
('62537', '18449')
('62586', '65381')
('62634', '195')
('62639', '67329')
('62704', '64512')
('62770', '17578')
('62771', '46044')
('62862', '25957')
('62905', '1133')
('62945', '56106')
('62973', '8941')
('62988', '70157')
('63144', '18749')
('63185', '51073')
('63234', '72217')
('63267', '97770')
('63307', '14544')
('63504', '71104')
('63512', '46748')
('63655', '31324')
('63742', '1779')
('63859', '2595')
('64016', '71055')
('64219', '18868')
('64254', '16181')
('64267', '63184')
('64320', '75731')
('64348', '94938')
('64496', '21211')
('64630', '70890')
('64690', '37144')
('64787', '5265')
('64842', '39075')
('64923', '4139')
('65008', '33684')
('65098', '74094')
('65145', '13379')
('65462', '98618')
('65464', '4583')
('65516', '63601')
('65559', '68690')
('65611', '61099')
('65684', '51276')
('65776', '35371')
('65828', '19584')
('65866', '26417')
('65870', '27369')
('65891', '15217')
('65905', '91388')
('66142', '89050')
('66371', '69052')
('66498', '660')
('66547', '69453')
('66562', '80041')
('66575', '14163')
('66578', '71866')
('66678', '87961')
('66795', '76188')
('66910', '65718')
('66910', '68979')
('67087', '46629')
('67143', '87947')
('67164', '2184')
('67550', '86710')
('67670', '42214')
('67679', '20005')
('67702', '28539')
('67716', '80202')
('67771', '68359')
('67804', '30462')
('67975', '91340')
('68020', '71437')
('68226', '8997')
('68324', '1431')
('68360', '71849')
('68385', '95265')
('68388', '53388')
('68414', '72011')
('68448', '28140')
('68448', '98808')
('68467', '39407')
('68487', '31046')
('68491', '39329')
('68570', '25691')
('68639', '34005')
('68763', '99487')
('68815', '55837')
('68947', '5434')
('68997', '56858')
('69049', '80689')
('69196', '30152')
('69371', '11073')
('69445', '4083')
('69488', '21430')
('69553', '93285')
('69641', '20829')
('69711', '65839')
('69739', '7731')
('69781', '24463')
('69852', '10051')
('69904', '86508')
('69909', '18553')
('70299', '59098')
('70364', '21945')
('70486', '70065')
('70528', '76703')
('70657', '64854')
('70894', '26')
('70925', '24555')
('70964', '92025')
('71012', '97607')
('71107', '71216')
('71258', '26531')
('71458', '76176')
('71523', '67379')
('71635', '9600')
('71819', '94657')
('71864', '94791')
('71902', '81834')
('72432', '77409')
('72457', '8353')
('72628', '17864')
('72759', '17768')
('72776', '1048')
('72858', '78381')
('72916', '1754')
('72938', '35791')
('73034', '13655')
('73124', '79094')
('73181', '92531')
('73193', '30851')
('73244', '96135')
('73338', '86808')
('73539', '85341')
('73543', '7005')
('73547', '28791')
('73614', '63210')
('73687', '91103')
('73700', '55549')
('73751', '62058')
('73772', '35642')
('73787', '28062')
('73880', '4433')
('73909', '39199')
('73911', '52225')
('73913', '95386')
('73922', '81017')
('74301', '15285')
('74308', '945')
('74326', '78828')
('74431', '16353')
('74460', '13065')
('74466', '14392')
('74516', '75945')
('74577', '10429')
('74687', '25868')
('74868', '93152')
('75056', '85709')
('75236', '64190')
('75343', '41963')
('75363', '66797')
('75438', '92500')
('75529', '52171')
('75596', '71361')
('75612', '10226')
('75666', '17804')
('75688', '35988')
('75695', '94921')
('75767', '51506')
('75804', '76369')
('75825', '75239')
('75826', '89924')
('75923', '54253')
('75991', '41206')
('76034', '96135')
('76063', '49933')
('76087', '8618')
('76167', '76586')
('76218', '27090')
('76318', '7513')
('76326', '99224')
('76358', '86837')
('76437', '45691')
('76458', '99205')
('76485', '53331')
('76502', '84381')
('76547', '46405')
('76580', '77196')
('76598', '23270')
('76610', '57080')
('76789', '83844')
('76936', '73100')
('77032', '69963')
('77099', '32449')
('77117', '40242')
('77164', '67039')
('77219', '51151')
('77341', '81859')
('77409', '84926')
('77468', '13889')
('77501', '26224')
('77599', '5871')
('77683', '58438')
('77688', '65840')
('77900', '86080')
('77953', '85109')
('78083', '61869')
('78268', '22854')
('78499', '7838')
('78555', '34870')
('78650', '19019')
('78661', '7267')
('78679', '43804')
('78710', '93364')
('78773', '67386')
('78861', '74184')
('78905', '32684')
('78992', '97029')
('79084', '70035')
('79164', '38678')
('79173', '56102')
('79248', '94007')
('79276', '65127')
('79347', '55687')
('79355', '27671')
('79378', '12774')
('79390', '55933')
('79470', '34974')
('79472', '34331')
('79488', '43085')
('79579', '80185')
('79793', '66324')
('79909', '17384')
('79909', '83253')
('79965', '9056')
('79972', '21224')
('80014', '21415')
('80029', '47161')
('80042', '1651')
('80115', '11842')
('80182', '13829')
('80416', '35018')
('80462', '63674')
('80532', '36353')
('80651', '21263')
('80692', '88460')
('80694', '26399')
('80723', '58856')
('80843', '59196')
('80884', '21659')
('80898', '47618')
('80928', '85208')
('80937', '52110')
('81209', '18083')
('81245', '72437')
('81363', '67601')
('81437', '76037')
('81491', '49083')
('81496', '91095')
('81633', '13153')
('81724', '91339')
('81848', '31240')
('81866', '81158')
('82104', '60841')
('82110', '79848')
('82149', '80605')
('82224', '62910')
('82284', '68507')
('82365', '54193')
('82509', '3590')
('82544', '1962')
('82554', '4839')
('82597', '6033')
('82641', '57347')
('82679', '35230')
('82708', '44462')
('82747', '83182')
('82805', '88356')
('82872', '22291')
('83004', '71392')
('83066', '53170')
('83162', '67653')
('83376', '9977')
('83402', '23691')
('83410', '33166')
('83500', '8179')
('83561', '6985')
('83613', '90795')
('83704', '62023')
('83843', '68677')
('84083', '93264')
('84120', '14499')
('84178', '11621')
('84422', '51507')
('84504', '69167')
('84580', '7477')
('84664', '65015')
('84793', '92231')
('84877', '61360')
('84907', '12121')
('84911', '73292')
('84927', '30381')
('84970', '80883')
('84985', '86317')
('85033', '44461')
('85103', '43156')
('85156', '13389')
('85201', '32005')
('85459', '25465')
('85508', '86122')
('85511', '98334')
('85558', '33984')
('85586', '82087')
('85604', '14401')
('85634', '79202')
('85676', '83129')
('85687', '45132')
('85819', '31622')
('85916', '20557')
('86020', '36738')
('86087', '43470')
('86092', '64037')
('86193', '1930')
('86226', '4602')
('86288', '27194')
('86290', '56133')
('86296', '95933')
('86300', '10138')
('86306', '90020')
('86350', '69796')
('86352', '90928')
('86423', '56263')
('86526', '6196')
('86555', '71001')
('86571', '10462')
('86580', '26475')
('86666', '50768')
('86668', '81310')
('86691', '5500')
('86807', '72821')
('87009', '23287')
('87021', '99807')
('87092', '4318')
('87319', '21600')
('87371', '46856')
('87434', '12614')
('87499', '65027')
('87651', '84391')
('87664', '73907')
('88020', '21916')
('88117', '71614')
('88200', '61223')
('88364', '78545')
('88772', '63879')
('88894', '56893')
('88922', '56769')
('88929', '23818')
('88947', '8554')
('88971', '92703')
('89009', '38524')
('89020', '3314')
('89200', '18475')
('89242', '95946')
('89254', '87703')
('89335', '18998')
('89378', '79945')
('89390', '35635')
('89396', '44208')
('89470', '42480')
('89492', '56609')
('89543', '80340')
('89553', '53230')
('89562', '77431')
('89665', '3195')
('89676', '4515')
('89803', '83249')
('89836', '2892')
('89870', '55168')
('89950', '11323')
('90089', '95220')
('90144', '89248')
('90166', '94895')
('90281', '56832')
('90527', '70266')
('90580', '46954')
('90589', '44055')
('90598', '35915')
('90683', '56243')
('90687', '225')
('90775', '66141')
('90800', '61175')
('90865', '82199')
('90884', '61247')
('90911', '99640')
('90920', '4728')
('91054', '13658')
('91112', '30863')
('91193', '47103')
('91211', '72597')
('91234', '66629')
('91295', '51829')
('91362', '82547')
('91408', '15487')
('91665', '63913')
('91760', '58902')
('91921', '5083')
('92109', '97247')
('92171', '51339')
('92317', '78000')
('92318', '90548')
('92325', '37588')
('92342', '92399')
('92435', '69538')
('92450', '68302')
('92481', '7960')
('92518', '93206')
('92539', '59286')
('92594', '15401')
('92613', '58119')
('92642', '25415')
('92648', '52047')
('92722', '86146')
('92749', '22282')
('92813', '79693')
('92855', '91506')
('92885', '93483')
('92928', '79796')
('92975', '66583')
('92991', '94734')
('93021', '9895')
('93107', '67933')
('93315', '62322')
('93408', '85357')
('93450', '11624')
('93480', '34811')
('93507', '33793')
('93519', '56780')
('93563', '30806')
('93565', '37117')
('93565', '77865')
('93604', '97327')
('93748', '67665')
('93898', '9599')
('93952', '22574')
('94112', '98533')
('94189', '21387')
('94273', '37198')
('94376', '55449')
('94387', '56947')
('94427', '54218')
('94633', '71313')
('94794', '19497')
('94810', '10303')
('94896', '47815')
('94916', '32705')
('94944', '9038')
('94989', '98973')
('95005', '54074')
('95012', '12664')
('95123', '53670')
('95141', '34447')
('95145', '21481')
('95209', '90224')
('95286', '2525')
('95475', '33811')
('95580', '55379')
('95644', '41325')
('95650', '79781')
('95717', '11587')
('95746', '92209')
('95836', '69883')
('95858', '24187')
('96010', '77641')
('96123', '21383')
('96181', '42862')
('96226', '98928')
('96286', '64001')
('96302', '85437')
('96305', '84705')
('96456', '3243')
('96465', '51912')
('96489', '21374')
('96554', '35939')
('96648', '3047')
('96735', '18226')
('96796', '73255')
('96820', '402')
('96832', '90830')
('96835', '47388')
('96841', '64655')
('96933', '98906')
('97020', '76665')
('97140', '78173')
('97151', '58276')
('97159', '52003')
('97188', '29137')
('97228', '58461')
('97238', '38563')
('97245', '38420')
('97316', '26514')
('97438', '86121')
('97442', '40297')
('97489', '40267')
('97581', '45066')
('97660', '41899')
('97661', '9890')
('97674', '15899')
('97730', '52378')
('97876', '62503')
('97901', '1670')
('97927', '89883')
('97980', '31696')
('98022', '22484')
('98139', '72068')
('98170', '31850')
('98255', '37524')
('98368', '80445')
('98438', '63440')
('98463', '99358')
('98482', '99881')
('98496', '6273')
('98508', '29639')
('98667', '51596')
('98739', '15031')
('98774', '37473')
('98803', '49273')
('98933', '40916')
('98954', '43294')
('99019', '83023')
('99179', '21958')
('99236', '18794')
('99329', '59635')
('99411', '16006')
('99614', '1708')
('99654', '25164')
('99721', '8883')
('99757', '7610')
('99963', '52720')
('99973', '75298')
('3', '70861')
('35', '7993')
('67', '84110')
('123', '63591')
('161', '78481')
('172', '97254')
('175', '28150')
('187', '93534')
('189', '13621')
('272', '24976')
('300', '1926')
('351', '72256')
('432', '15994')
('438', '34670')
('444', '50623')
('485', '79865')
('512', '15010')
('632', '40098')
('648', '80013')
('653', '1751')
('659', '63400')
('666', '12639')
('673', '56840')
('709', '92445')
('728', '18283')
('749', '43671')
('774', '94452')
('821', '18533')
('889', '76274')
('905', '20612')
('914', '57328')
('969', '18047')
('1002', '49318')
('1095', '19290')
('1151', '511')
('1182', '19394')
('1267', '82850')
('1269', '33223')
('1310', '2773')
('1319', '29355')
('1332', '75354')
('1385', '26793')
('1431', '67420')
('1581', '72845')
('1665', '47888')
('1678', '16735')
('1706', '9011')
('1805', '33186')
('1837', '78439')
('1877', '1585')
('1907', '89132')
('1911', '73915')
('1932', '98592')
('1936', '65533')
('1967', '92582')
('2023', '9905')
('2030', '29651')
('2082', '76337')
('2134', '56032')
('2159', '25116')
('2253', '71798')
('2280', '68240')
('2331', '49802')
('2373', '42127')
('2397', '34262')
('2406', '92317')
('2463', '75399')
('2543', '13955')
('2592', '41163')
('2642', '48963')
('2691', '86434')
('2704', '44320')
('2716', '89346')
('2723', '49092')
('2785', '77612')
('2805', '15306')
('2810', '90640')
('2823', '19176')
('3006', '20041')
('3062', '698')
('3078', '31035')
('3085', '50966')
('3100', '47636')
('3194', '27765')
('3194', '71373')
('3225', '57726')
('3227', '50209')
('3254', '42837')
('3354', '90077')
('3362', '53656')
('3379', '36875')
('3422', '93828')
('3526', '24643')
('3646', '8036')
('3654', '33257')
('3658', '47325')
('3770', '7041')
('3796', '78375')
('3812', '95115')
('3831', '44804')
('3865', '73697')
('3926', '96153')
('3939', '2966')
('3961', '74260')
('3968', '3508')
('4054', '24043')
('4057', '30795')
('4059', '84702')
('4091', '22218')
('4129', '17290')
('4186', '18948')
('4243', '30598')
('4301', '85625')
('4415', '41859')
('4425', '59989')
('4478', '34264')
('4637', '3325')
('4721', '91222')
('4770', '46638')
('4775', '35120')
('4796', '55585')
('4806', '66358')
('4834', '93528')
('4849', '12948')
('4877', '21938')
('4878', '91775')
('4888', '47737')
('4902', '44601')
('5051', '16545')
('5066', '55031')
('5102', '64914')
('5113', '11746')
('5211', '43942')
('5309', '84233')
('5314', '1140')
('5347', '60161')
('5401', '45096')
('5458', '18816')
('5465', '91722')
('5479', '65309')
('5487', '77358')
('5538', '81261')
('5593', '42920')
('5599', '81280')
('5672', '36487')
('5702', '51406')
('5738', '42375')
('5765', '38291')
('5879', '93528')
('5896', '50135')
('5898', '73419')
('5912', '88531')
('6030', '30329')
('6067', '79236')
('6070', '50344')
('6074', '48574')
('6075', '23780')
('6160', '45720')
('6255', '75527')
('6269', '81587')
('6304', '76338')
('6313', '12481')
('6377', '94961')
('6399', '34044')
('6400', '71330')
('6420', '17383')
('6432', '63794')
('6448', '82355')
('6488', '49512')
('6544', '38258')
('6615', '25109')
('6699', '7303')
('6701', '45576')
('6725', '49969')
('6761', '58631')
('6793', '31628')
('6802', '31818')
('6840', '91000')
('6845', '35835')
('6859', '44792')
('6889', '90516')
('6924', '64970')
('6953', '63558')
('6963', '92704')
('7000', '41375')
('7004', '31252')
('7006', '57504')
('7053', '4130')
('7054', '87439')
('7070', '80024')
('7110', '41005')
('7156', '62747')
('7226', '24175')
('7227', '56844')
('7234', '19418')
('7243', '48460')
('7245', '94021')
('7290', '63231')
('7339', '31005')
('7380', '19106')
('7404', '54814')
('7417', '19124')
('7424', '49859')
('7425', '84279')
